mercader camino regreso atravesar
jugar inventar juguete especial
camino hacia gran montaña
apetito avén ver deliciós
rodar colina tanto malo
sabrer siempre lugar encontrar
ciento libro encontrar allí
reina ser secuestrar ofrec
embargo burg niedeck difícil
cruel perdedor vengar él
llamar niña ver arpa
trabajar apenas dinero peleado
sabor vida así sal
embargo quedar silencio temor
llegar reservar todo habitación
pocopaco ser tonto grupo
nadie acordar época cada
adecuado inventar aparato tanto
organizarlos publicar todo parte
duende comenzar pasar hambre
entonces construir muro alto
favorito así salir correr
mundo mejor instrumento mago
incluso dormido hospital mamás
víctor padre pintar duro
menor llamar bello decir
dragón duda ninguno duda
mujer ver gran sorpresa
barra pan astuto mujer
osaka mirar hacia osaka
pedazos instante mismo ocurrir
acercar sandío encontrar anansi
decidir cargar él fiesta
felicitar granjero buen suerte
voz genio montaña decir
si alguien atrevir desobedecer
cantaba jugabas verano repuso
sustituto cada pequeño rincón
cama saber ratos habitación
gato devuelvo casa decir
gritar muchísimo siempre mal
visitar niño poner felicímetro
él eduardo oir voz
cada papá rey mamá
responder cocinar sopa piedra
tomar forma niño travieso
embargo jardín gigante egoísta
pobre hombre enviado establo
enorme sandía nacer tal
tú tío conejo bajo
hacer león ratón demá
preguntar hacer él visible
único entrenamiento consistir reunir
ver él volver cama
mientras dina pilotar precioso
decir conejo clavarla pata
secreto encontrar máquina accidente
jamás volver preocupar él
sino apuesto joven cisne
si acaso frotar mano
poder volar alto gaviota
ver deliciós decir abuela
niño montar buen ratoncito
rostro niña acudir correr
majestad si buscar mayor
trozo pan decir almuerzo
refrescar introduciéndolo río vez
gallo aparecer perro ratitar
llevar mil oveja goloso
delgado brillante ojo azul
león responder enfermo pedir
pequeño insignificante preferir dedicar
vencedor quedar casilla multicolor
sonar tal espada asustar
dar gracia haber menos
acera descubrir caja cohet
tiempo enfrentar él gran
avergonzado marchar rabo pata
mosquito comenzar volar mirar
precioso atado cuerda dorado
tocar marioneta varita mágico
guardián gran espada cristalsigueír
impopular todo ave bestia
león bajo árbol descansar
acogerlo palacio tratar él
pared ver ser extraño
olvidar vigilar travieso año
queda ver ninguno problema
embargo ahora saber pescar
comer plato dormir almohado
rincón jardín crecer árbol
sapo enterar fiesta cielo
celestial enfrentar capitán decir
escuchar demasiado ocupado hacer
entonces alguien tocar puerta
escuchar princesa correr hacia
poder recuperar bola dorado
resistente fabricar pértiga poco
soplar viento junco susurrar
cabrito gruff voy colina
vez mercado pedir tendero
victima accidente carretero encontrar
organizar concurso resolver disputa
valiente acercar él león
vez zorra sentar mirar
brillar color arcoíris mientras
querer acercar él hablar
decir ícaro tir cuidado
pequeño arruga cuello niña
tocador tomar collar par
aldea gran audiencia canto
dedo gordo peludo pie
esculcar bolsillo abrigo mojado
situación comenzar aullar quedar
tardar dejar él ver
vera día leer biblioteca
tipo duro colegio papá
hospital mamás aquí poder
nunca volver participar concurso
querer utilizarla abandonado pues
finn maccool aguerrido gigante
cuenta ocurrido casualidad ahora
carta amor incomparabl poeta
así libro miedo agarrar
manzana delicioso producto poder
puerto casa vecino dar
mujer reunir todo fuerza
lugar pequeño pablo nieto
salir trabajo mamá marto
salvaje reír reír reír
vez joven príncipe secreto
montaña picar piedra mover
cualquiera dibujo aunque hacer
mover dejar palabra allí
reunir poner él fin
abandonar sueño desgracia parecer
furioso pastor echar lobo
sentir mucho lástima leñador
bello exótico parecer maravilloso
mala mundo si hecho
entonces niño decir gracias
día caluroso zorra sediento
él pobre erdamal aquel
capaz admirar belleza cofre
cada día guapo cada
examen demostrar saber hacer
enorme decir prohíbir entrada
decidido ayudar él decir
ideal cualquiera necesitar mover
pájaro posar árbol cantaban
luego regresar conejo tierra
talento pintor escultor músico
centro encontrar árbol cartel
menor esperanza encontrar salida
reparar error convocar presencia
nieto nokomis gritar mirar
sentir cómo garganta atorar
liar tanto prís formar
forma insistir visir seguro
noche llamar granjar hacer
humanidad jugar futuro gran
sombra frondoso árbol mosquito
ser tanto tanto enfadado
agua encontrar jarra preciado
tampoco costar terminar decir
pequeño demá cada vez
sentir pena mayor pues
buitre responder planear asistir
escondido bajo mesa comedor
vencido encontrar hogar humilde
dos ranita parar puntita
dar él lección astuto
llegar calma canto viento
horrible pensamiento tocar fuego
esperar mono pediría ayudar
dos pedazo echar sopa
ninguno pantalla consolo smartphonir
llevar contrario pronto hacer
saber vivir palacio habitado
pronto pequeño tiendo hacer
mañana mamá llamar puerta
llegar todo televisión mundo
alguno lengua empezar crítica
desconfiado confiar juanito manzana
enorme bloque hielo rápidamente
decir palabra elefante sentir
decir exasperado poder darte
ver dos hombre agitar
tigre astuto pasar querido
entonces dos ranita parar
fortaleza decir viento norte
casi idéntico sorpresa cosa
luz aparecer habitación flotar
grupo amigos tigre separar
ató extremo cuerdo alrededor
cuidar semilla hacer emperador
alegría convertir lágrima agua
diente espantoso largo afilado
controlar él pocopaco joven
llorós humillado nunca volver
volar hermoso libélula trazar
vivir ratón campo decir
hecho demá tanto feliz
niño experto inventor juguete
creer recuerda cómo dibujaste
encantar chico aunque parecer
inmenso dedo larguísimos boca
ver pan molesto decir
atrapar sueño malo mientras
bromo pesado furioso echar
hacer esperar dar poco
solo necesitar tiempo hacer
nunca terminar bien cosa
grit lobo ninguno lobo
vez granjero anciano cuyo
comadrejo poder creer escuchar
viejo volver tener montaña
construcción cerdito parar quieto
alimento cuido alegrar día
brazo cielir gritar bendito
ser amigo midas elegir
pues alguien querer arrebatártelo
siguiente princesa encontrar rana
reflexión animal acordar llevar
tallado nombre príncipe desterrado
pececillo contar ayudado pulpo
lado hija pequeño chilla
blanco llegar seguir caminito
verdadero princesa guisante través
trabajar preparar tierra sembrar
dos surgir luz divino
incluso escriba yo buscar
casa abrir él voz
adrián poder descubrir aquel
niño ondulir ritmo música
invento entonces cada año
pajar terminar temprano acostar
cabeza ayudar comer sano
mañana atardecer lograr negociar
leyenda contar antepasado podido
mes hija descubrir padre
persona rico importante preparar
compañera ideal cualquiera necesitar
cruel recibido mismo castigo
noche cualquiera mosca posar
entrar furtivamente tiendo zapato
él crear escuela rana
aquel 25 diciembre todo
valiente todo fiesta amigo
oeste llamado pionero carecierar
llegar casa invitación rey
coger cuerdar atar extremo
violento presuntuoso agrado público
cómodo gustito saber difícil
poder romper cabeza ayudar
médico ser descubiertar adelante
libera devolveré arte decir
fuerza capitán marinero salir
pequeño ratoncito simplemente volver
huésped quitar todo ropa
decir martar casi llorar
tigre imagen perfecto mundo
suelo trolitar ver reflejo
convertir él hermosa flor
esperar repente pasar elefante
calir cepillo bambú guardar
todo luz anansi poder
hecho niño tanto pequeño
palabra verás realizado tres
tanto cosa ocurrir mejor
elegante armiño pasar junto
necesitar vaya madrín pida
canción exagerada promesa poder
desear formulado marido enojó
abrir teatro cobrar entrada
recortar día dar él
tropical habitar último grupo
mismo noche gigante desaparecer
mudar casa fantasma zacaría
verdad nadie poder descansar
polilla volar alrededor fogata
sentir pena ver cigüeña
saber infeliz ir ser
aprender distinguir verdadero falso
niña recoger amigo guardar
subir luna rellenándola poquito
esperar ilusión día llegar
controlar él ansia correr
poder abrir boca chillar
partir ahora comes solo
fuerza salir propio cuento
violín esperar esperar buitre
montón montón página letra
aprendido tipo duro dentro
poner huevo encontrar canasta
prefier ser alto bajo
araño nunca ser trabajar
tanto gusto nunca salir
vez flor asomar césped
verde tanto grande redonda
casa dorotear todo emperifollada
alicia olvidado dibujar pie
fuerza evitar ser ver
canto tiempo comprender cantar
abuelo sonreír montón arruga
jamón champiñón cebolla bellota
allí magia preparar gran
palabras gato dar pedir
ir poder alguno día
pato liebre ardilla zorrillo
diablillo poder repetir jugada
estudiar leer encerrar cuarto
visto decir hércules bufón
palacio tratar él noble
todo joya puñado oro
año pensar dar vuelta
dragón convertido pepita chocolate
ratón vivir cocina enorme
escapar palabra manu poder
pensamiento tocar piel manu
piedra olla declarar sopo
incluso tarde erdamal reparto
arrancar rosas intención llevársela
ojo hado azul dar
asusto replicar ratito desagrado
flaquito decir tío conejo
menudo atrapa llevarno lugar
poder favor guardar cosa
jaime hacer novio cabo
año evolución cráter convertido
tmolo votar apolo demostrado
negociar paz pasar largo
tomar pata delantero caer
dejar atrás corriente oro
llegar casilla salido cada
oeste crecer mucho casa
comenzar carrera gritar marca
cansado poder ver tesoro
contento nunca desear día
rey encerrar minotauro laberinto
animal tanto fornido caballo
dar pequeño trozo pan
antepasado podido cruzar único
tarde primavera hacer tiempo
amiga zarigüeya invitar esperar
ir bosque cortar leña
príncipe guerrero valiente tanto
leyenda vietnam hacer siglo
mellizar halloween fiesta santo
perdido fantasma solo deambular
gran fiesta todo adornar
elegir sustituto visto quién
importancia decir favor ser
instante después sentir pena
pastor fiesta deber ser
lado separado gran acantilado
cara hacer primero mordisco
visitado seis amigo ser
camino anciano aspecto bonachón
mismo momento jaime aflojó
oír aquel conversación dos
volver loco alegría aceptar
razón decir fotografiar aquel
despoblado mientras remover tierra
asibikaashi encargado cuidar niño
golpe puerto voz espectral
perezoso medio prestar atención
tanto terrible persona comenzar
sandía poder hablar decir
noche preparar cama hoja
preocupado aún decidido cuál
hacia cuello ana desatar
rápido poder dejar anansi
despertar liebre poder dar
don cayo gri tonzio
detener preguntar él cocinar
cielo ir caer rey
pasar hora volver saber
mientras ver aldea yo
ladrón menos tonto sino
ser mejor tres añadir
enorme lío tentáculo poder
perdido decir juanito lanzar
benandonner mirar armatoste medio
sentir él débil suplicar
allí protestar voz bajo
río lleno árbol flor
él cuenta libro convertir
lugar descubrir genial aquel
usar magia llegar manu
elegante añadir tanto necio
buen apariencia interés fiesta
pobre patito feo casi
sembrar pánico llegarer tierra
rápidamente poner acuerdo dedicar
fuerza llegar casa llevar
poco hora león quedar
afilado sonrisa escueta preguntar
doctor donoku pado famosísimo
ventana mujer conducir dejar
niña niña perro negro
olvidar allí encontrar casi
tocar cantar bailar alguno
esperar mientras subir recoger
aceptar aspecto seguir vida
malvado pensar nadie llegar
convertir paja oro habilidad
ir dormir anochezca despierto
él león dormido quedar
subir montaña picar piedra
desaparecer saber poco día
rebuzna solo poder ser
bajo palabra salir perfecta
partir aquel día pablito
mono poder dar él
decir palabra pobre burro
seguir florecer primavera otoño
tanto rápido pez grande
hansel gretel entrada pueblo
ser amigo pulpo tanto
querer robar él bocadillo
atreveír hacer él pensar
disculpar haber él invitado
ancho pico decir ganso
llorar sollozar mientras recordar
repente cascarón salir patito
hueco blanco colorear visto
extender él vaso agua
pared justo orden troll
apresuradamente esperanza encontrar resguardo
saber cómo transmitir enfermedad
niño volver meter él
si planto cuido alegrar
poderoso tigre desentonar belleza
crecido esperado manera bote
ambos avanzar casilla multicolor
luz resplandecient irrumpir oscuridad
pañuelo cuatro esquina subir
recoger tirar papás utilizar
imposible alcanzar tesoro maíz
llegues ser abuelo querer
malo nefasto idea utilizar
encontrar él verás calir
ser luca llamo maría
cigüeña alcanzar fácilmente guiso
guardar meticulosamente pañuelo terciopelo
situación gran mago decidir
cansar empujar así decidir
doctor reyes decir despertar
decir encantar abrazo pulgar
vino llegar gato blanco
molestar él peor aún
puerta castillo reinar ver
poder aprovechar temprano dormir
granjero cambiar buen suerte
ver si recupera mano
cansado gobernar anunciar súbdito
haber pedir permiso primero
tirar red río esperar
igual odio encoger corazón
parar medio camino descansar
pintura decir vergüenza ir
protegido alguno magia amuleto
aquí nadie fiestar tanto
exclamar apoyar él fuerza
todo noche poder ver
luz ser emocionante además
sol tener queja cultivo
ver maripós delante decir
malvadas aunque fama ser
maría agradar historia fantasma
vivir dos hechizo lanzapalabras
campesino decir amigo caminar
así buscar forma hacer
aquel prefiere honradez mentirar
él pensar pértiga poder
gordo viejo mago ayudant
comadrejo mucho gracia cultivar
tierra poner jugar animal
pedir llevar dirección vecino
ana enfermar gravemente decir
madre esbozó sonrisa hacer
insistir finalmente padre decir
hora mañana brillante oveja
ahora vivir gigante malvado
auxiliar él ver ninguno
según planeado ícaro pensar
grillo mostrar camino decir
repente encontrar camino coco
sentir extraño bajo colchón
montaña llegar valle prohibido
castillo v lejos pertenecer
princesa enseñar él cocinar
siquiera saber si acabar
saber quedar mágico aquel
asegurar ave sino ratón
piel escupir huella aquel
remedio leer propio piel
ver cartel sentir tanto
burro volar puente dar
dormido bostezar mientras mamá
camino decir sapo caer
él olvidar él mano
coger violín emprender vuelo
don estudiete explicar divertido
saber si acabar alguno
él gritar mamá sánchez
después mujer poco suerte
gallina gallina poner muchísimos
seguir cargar violín tanto
pequeño manu robado elixir
burlar agachar cabeza avergonzado
solo ocho pata flaca
guiso preparado cigüeña servido
largo largo trecho encontrar
cada vez dejar abrazar
bambú poner traje elegante
mirar ventana gaviota volar
atraído llama polillo volar
aquel perro dar él
6 u 8 vez
orden caminar caldero tres
hará mismo hacer tú
traición valor sufrimiento resistencia
tiempo niño convertir hombre
llegar justo tiempo tir
correctamente aquel misterioso palabra
decir leñador llorar alegría
tonzio incapaz pedir alzar
copo nievir enjambre abeja
mar fuerte ahogar cantar
rodeado alto muro nadie
olvidar partida ambos avanzar
varita mágico despertar pequeño
ser niña triste pronto
rey elefante mucho desconfianza
inauguración juegos estadio grande
primero poblador oeste llamado
si hacer impedir él
ir sacar cosa dejando
listo pronto descubrir raro
disolver provocar él escozor
abrir puerta acercó suceder
día mujer asomar ventana
tierra cocodrilo piel suave
mismo noche uno mano
mejor podido simple familia
hablar pececillo ser amigo
dejar él caer quebrar
demasiado pago tocar flauto
dejar solo hombre tierrar
roto pensar quebrantrisa luego
vivir contento nunca desear
cigarra contentar cantar jugar
gran montaña oreja diente
uso fuerza sino inteligencia
aunque saber encontrar volver
tanto malo suerte poder
dos seguir largo largo
médico mamás así médico
después inesperado respuesta mismo
mientras hervir agua aldeano
allí poner él lado
asesino malvado zepo rete
dar él gracias mil
consuelo convertir orgullo pues
saber niño edad preparar
blanco solo casa dentro
fip seguir soltar boca
profecir judíos anunciar nacimiento
llevar trompa canasto lleno
fuerza poder temiesar respetasar
llevar amigo aquel árbol
calzoncillo día hoy comentar
vez troll malvado sueño
troll tirar libro ventana
siempre llevar cinta seda
libro escribir poder ser
núcleo vacío llevar tiempo
poder ser peor libro
tanto bien podrás operar
mitad diente morder pedazo
casa transformar palacio lleno
ordenándolir traer diez moneda
diente garra tanto gastado
lugar palabras viajar menudo
reino ficha blanco tanto
idea despedir amigo abrazo
frotar si desear comer
vivir araña pata corta
casa jack saludar mamá
contar secreto llegar incluso
hermoso caballo perro viejo
probar fruta árbol maravilloso
miedo fondo pensar cosa
hacer fortuna sólo gato
niño pequeño dibujar escuela
nadie sentir hambre decir
ser querido despedir él
zorra tampoco quedar esperar
anillo decir joven tender
habitación ver aquel espectacular
llegar amigo cenar disgusto
grande vida agarrar pececillo
enfrentarir líder cada bando
tras contratar mayordomo cosa
escribir todo aventura llenar
nadie poder hornear tanto
pedir exigir nunca escuchar
entrar sala hombre extraño
bailar alguno mil cosa
completo dejar nadar quedar
solo poder llevar él
mayor si perseveranciar nunca
viento extremo abrigo agitar
ver cierto coco grande
enfado según subía tono
llegar incluso tarde erdamal
poder ser útil valioso
rincón mundo convertir él
libro conseguir acceso gran
pensado hacer sufrir dedo
trozo torta trago botello
cabrar mirar canasta lechuga
día anciano granjero huerto
dedo llegar ser tanto
camín camina encontrar pato
noche uno mano voladora
cenar casa día siguiente
gobierno reino ir aún
luz poder ver mejor
ministro ver cuánto progresado
hachazo golpear pierna regresar
nuevo rey querer volver
mosquito hacer gritar furiosa
siempre aterrorizado fiera periódicamente
pequeño ver aspecto triste
decidir seguir camino preguntar
madre plato cuchara casa
decena dragón rodear listo
aspecto tanto pobre orimón
anansi nunca regresar casa
crecer todo clase fruta
tener pierna rota apto
moriré hambrir pues llave
él llorar ratoncito silencio
pequeño pértiga hacer tanto
barril pintura negro encontrar
niña llamar gerda niño
pensar fin cohete comenzar
vez rey quedar huérfano
engordar colorín colorado cuento
decidir dirigir batalla mismo
entonces rey tomar trompa
ir tirar papel ensuciar
doctor reyes abrir puerta
pez acudir felicitar pulpo
luego ratón sentir aliviado
tomar él día vacación
cueva murciélago sapo araña
joven entreabrir puerto tirar
piel poder disfrazar yo
llegara oler olor maravilloso
recomendar diente amenazante caparazón
tarde señora comadrejo mucho
poner caldero tierra detener
feo sentir triste noche
vero descubrir entonces pata
vecino decir parecer puerca
rato llegar segundo cabrito
día rompe responder ninfa
dedicación animalito seguir caminar
pantallar esperar vacación poder
desmenuzar secreto cada paso
joven príncipe comenzar inventar
emprender largo camino regreso
fácil ser valiente peligro
montón diminuto personaje acabar
rock rana paco quedar
dirigir hacia palacio real
rico aquel convertir mejor
abrazo abrazo venir abrazo
tocar papel crecer crecer
cabeza vacío fácil engañarl
primero momento parejo destacar
tardar imitar pin flop
obtener premio concurso sino
militar consejeros hacer rey
blanco colorear visto falta
caldero todo seriedad dar
desaparecer ver presencia dejar
moralejo vanidad reflejo ignoranciar
sogar hierro remolqué reino
uno poco verdad poder
acercarar viajero ofrecer ingrediente
poder hacerte dichoso dejartir
él convertido parte dibujo
supervelocidad poder empequeñecer él
enorme pez acudido comer
tanto venda pegamento resultar
cementerio pala mano regresar
acudir recoger él colegio
casa llegar nuevo habitación
elefante sentir estupor caer
hablar aquel dos vecino
hechizo palabras pasar ser
comadreja regar cultivo sandía
decir oveja cerdo cola
historia aventura ocurrencia divertido
partir momento paco estudiar
comida ropa así pobre
a él mientras cantar
imagino conoz rumor acerca
dentro año traiga flor
primero foto cámar elefante
hombre común así poder
ranita despertar aburrido decidir
miró hacia atrás ver
luna tanto dinero poder
cada vez ratoncito ver
cazar encontrar fruta verde
niña saber cuidar cangrejo
parecer invisible solo aquel
feroz hablar temible lobo
ofrecer traer zanahoria agregar
crear obra ganar tal
volar volar llegar palacio
anansi frío cansado gustar
él persona querer sabiduría
generoso buscar felicidad cosa
entonces maripós enfureceír risa
sabiduría impedir jugar fuego
sábado ver concurso mariposa
solitario nadie salir defender
encontrar zombi fantasma ogro
ser alto mejor quitaré
visitar antiguo ruina seguir
entrar cabaña gritar mujercita
comenzar gritar él capitán
adnadnal ñañsña intentar responder
dedico cazar zombi malvado
sueño profundo cien año
encontrar forma devolver anillo
amigo juguet así pedir
dispuesto aguantar valentía malo
si sient feliz olor
monstruo siquiera mirar saber
pobre papás terminar gritar
decir importar viejito llegues
comentario hombre pedir nuevamente
comenzar temprano cortar rápido
casi atrapa solo zarpazo
sorpresa ir llevar viejo
ver enorme piedra aplastar
mamá ser vomitar diez
cuello intentar cuervo poder
azul preparado casar chico
decir si aquí fotografíar
vacío ganar primero tesoro
tomar libro esperanza encontrar
tiempo recuperar él sorpresa
brotar único flor difícil
paliza llegar mismo querer
simplemente deír gracias alejar
salir balcón casa poder
piedra vivir contento nunca
día amigo hallar forma
pionero indígena sentir gran
anansi importar quién dueñir
dejar él saber invitar
poder hacer él jo
sentir él mejor barbero
maccool nunca tomar desafío
hombre quitar gorra enjugar
rabanito crecer decir granjero
jarro largo cuello estrecho
historia fantástico pueblo visitado
planta crecer abundantemente jardín
solo poco equipo formado
fallido encontrar fantasma despistado
hacer novio cabo año
magnífico mercado esperar poderoso
extremo palo levantar burro
ayer desaparecer mejor caballo
papá sánchez hija mayor
cosa bonito sorprendente saber
cruzar puerta primero vez
cualquiera competencia pues contendientes
plantar seguir florecer primavera
después hora elefante despertar
robar quier ser tipo
temporada vivir solo palacio
enorme tirachina apenas poder
si estrella millón año
tanto liar tanto prís
talento inventor resultar útil
pues lleva él lugar
carpinterir llamado gepeto feliz
fiesta cumpleaños ser éxito
montaña responder desear ser
verdad poder decir cuál
iglesia recorrer montaña todo
tierra detener pensar perro
insoportable desesperado salir oril
mayor colocar montaña plato
lobo cabro comer cabrar
aire alimentar así mosquizampa
dicho mamá director morir
secreto estallar obligar sembrador
rey quedar huérfano ser
descubrir reino ficha blanco
verdad pájaro saber espanzurrado
decir recorrer cueva calma
falso acercar conseguir riqueza
sólo dejar atrás hijo
decir ayudante mientras escapar
dudar aceptar propuesta viejo
deber bromeandodijo liebre mientras
embargo según pasar tiempo
saber hambre pedir comida
poder hablar señora salcedir
ver viaje aventura leer
reunido secreto querer dar
pensar angelito dormir completamente
loco incluso escriba yo
tía gallín entrar cocina
abrir cerrar ojo hado
entero color sangre normal
ser rey pues ver
árbol reposar cuervo mirar
avergonzado nunca querer saber
necesitar tiempo hacer amigo
elegir concurso nacional dar
casi siempre tras alguno
siguiente reunir equipo maracaná
enterar libro hacer persona
nunca saber violín sapo
primavera olvidar jardín decir
romper creo poder volver
pequeño cueva adentrar él
abuelitir señor lobo responder
flores amor crecer rápido
crecer convertir mejor juguetero
llevar cinta seda rojo
cerrar puerta establo caballo
instrumento debajo brazo pequeño
terminado infructuós reunión presente
ver dos luz resplandecient
deberíai dejar él reconocer
naranja decir oh naranjo
después ocurrir inimaginable primero
venda cubrir pata uno
siempre alegr contento incluso
pájaro volar cantar deleite
llover chocolate pasar cualquiera
compartir gallinero descubrir diamante
rato decidir camello razón
ilusión reunir trasto aparato
río deber cruzar bajo
coman golosina guardar monstruo
ocupar ordenar supuesto sastre
terrible batalla moer mil
avén taza mediano avén
saber sandía poder hablar
magia negro poder caer
roncar caminar puntilla cocina
restante renunciar ser reyes
dichoso poner huevo encontrar
víctor ramón asustar él
maceto grande tierra negro
tratar arreglar él encontrar
aunque parecer imposible verdad
fijar abuelo muchísimo arruga
silencio saber secreto poder
saber querido amigo roedor
jardín través pequeño agujero
sembrar primero semilla aquel
furioso pensar ser bromo
copete advertir niña inteligente
suerte padre sucedido si
sonido fiesta rodear niebla
érase vez molinero pobre
aguantar pegar nadie recuperar
papás utilizar él invento
luisa dirigir sala sentar
cante dulce melodiós voz
abrazo convertir hermoso estatua
aprovechar nadie visto salir
llamar sánchez seguir aparecer
deber asegurar él dejar
ahuyento todo rata cuál
leer comprender correctamente aquel
hechizo funcionar perfectamente solo
vez anansi temía si
empezar sentir él inútil
ana siempre llevar cinta
caminar apresuradamente esperanza encontrar
él enfurecer decepcionar nadie
pequeño pueblo llamado sodavlamaruc
espejo mágico parar frente
mentira unido mágicamente corazón
forma cada vez ver
momento burro desatar pata
cocinera permitir cocinar rey
revolcar él risa mientras
saber pasar día siguiente
penoso hechizo salir bien
trabajar tendido trampa poniéndol
descender figura celestial enfrentar
vigilar precioso palacete afuera
cuero hacer último par
varios familia allí poner
aire hacer cálido pluma
locomo ver enorme apetitoso
manzana nadie sentir hambre
general fip seguir soltar
después hora burro despertar
poner acuerdo dedicar él
invierno enjambre volar todo
ahora poder arreglar él
paco pensar ver él
amigo ratón huy delicia
enorme cofre vacío valor
preso miedo joven entreabrir
planto cuido alegrar día
hora extraño regresar concejo
seguir pensar cómo salir
tirar así núcleo vacío
él millón pequeño fragmento
aun así cada vez
reunión discutir plan ninguno
bajo tierra armiño menos
descubrir máquina tratar él
esfuerzo conseguir él revés
zapato vendar precio aún
pensar quedar él dinero
acercar caminar palacete disponer
cimir alto jaula oro
feliz hacer juguete madero
querer él cure aunque
capaz provocar mejor sonrisa
niña reino acompañar felicidad
lleno alegría bajar tierra
ser objeto burla comentario
compañero visitar habitación ver
ping único ser honesto
audiencia pensar bufón traer
fino saltar arbusto di
incapaz cruzar ventana dar
preferido malvados esconder reina
dificilísimo resultado final tanto
permitir árbol producir semilla
pensar él dos vez
aquel montón pelo movimiento
pequeño distante loplanto locomo
videojuego consola apps apenas
conejo tierra decir insignificante
tanto valiente inteligente haber
temprano despedir él anfitrión
pareja ratones ratúnez ver
esperar vacación poder probar
amor primero vista nunca
encontrar alguien estudiar leer
africano hombre habitar tierra
enemigo pensar dos vez
mañana siguiente descubrir través
pasar huerto gato blanco
él secreto pues saber
necesidad buscar pensar astuto
él convertir él alguien
poder descubrir aquel pompa
traje rojo gran barba
magnífico cacerola papas dulce
pasar día animal granjo
dionisio decidir rey midas
enfrentar capitán decir él
servir cena consistir tres
casa abuelito caperucita deber
palo atar pata burro
ser mejor músico mismo
sabía flores precioso huelar
cara isla creciero árbol
advertido hablar extraño lobo
ciudad vivir kioto osaka
sacrificar bello mujer corón
quedar ruina causa plagar
cerca astuto zorro poder
rusia anciano granjero vivir
doctor dibujo revisar mundo
vez hablar sonar corneta
dispuesto convertir él volcán
mosca forcejear liberar él
recibir paliza primero allí
bicho pueblo único chillido
cada decir deber hacer
pobre campesino poner centro
encargo sánchez siguiente familia
comer él grito casi
utilizado realmente ridículo simplón
libro solo reer echado
saber responder hombre voz
medio cerrar ojo siempre
tonterío hacer inventar aquel
montaña plato recién lavado
tanto alto perder vista
dejar solo ojo fosa
acercar valle vivir persona
aldeano decir encantado ofrecer
hijo acercar posado pedir
venda pegamento resultar imposible
casualidad ahora dos casa
saltar pata cojo tras
llegar nuevo habitación ver
marciano grupito torp anciano
impacientar dedicar tiempo aquel
rápidamente buscar señor celebrado
así correr habitación mamá
trabajar doble embargo ahora
allí poder elegir animal
piedrar todo parte mes
querer salir descubrir tampoco
ahí gracia técnico bebé
príncipe antiem planear derrocar
cama tirar rán piso
asegurarno niño recibir mismo
flop pronto cada niño
embargo intención astuta araño
suficiente fruta animal poder
ahora cómo salgo aquí
anillo cigüeña aprovechar probárselo
ataque burla correr ser
enterar doctor dibujo mejor
después experiencia bromo favoritar
sino necesitar ser leer
superar belleza físico reina
oro tesoro municipal si
dragón quedar sorprendido aquel
alegre servir infundir miedo
perder paciencia pensar si
grito aterrador acelerar carro
luca sepa cómo hacer
enredado retorcido vez adentro
menor comparar amor sal
importante hada ser belleza
violencia tripulación comenzar gritar
niño asigna dragón vigilar
nuevamente decir gemido dónde
cepillar animal limpiar establo
adentro comer quedar redondo
cada año compartirer cosechar
empezar hacer prueba paciente
hormiga ver cazador apuntar
último flor milo adornar
poder ser exitoso hacer
confundido quitar ojo quedar
amigo dedicado propio asunto
día anciano mago sentir
anciano mago obligándolo transformar
descubrir cómo dibujo torpe
tejeré red encargarás siguiente
hacia antiem despertar envidiar
acercar celular rostro si
alcance poder lanzar calor
alejar confundido quitar ojo
dejar sitio decir toni
encontrar solución después horo
tipo juegos perro mientras
perrito mamá decir epaminonda
ahora todo infectar volver
agradecido comenzar seguir él
noche apenas notar cada
pedir conejo esperar mientras
gritar ambos comprobar feliz
incluso dentro mochila día
feria lucir tanto hermoso
descubrir hijo don importante
villano incorregibl secuestrar niño
palo levantar burro hombro
salir pequeño habitación siquiera
aprender nadie hacer amigo
científico reconocer estrella cercano
luca interés continuar conversación
zorra acudir visitar él
cumpleaños hecho fastidiar él
picador piedra gritar enfadado
idea ocurrido hermán mellizar
seco falta uso apenas
después escuchar rey convocar
bajo colchón levantar él
poder atrever tú entrar
encontrar atado gran tronco
demasiado arruga saber bárbaro
comentario decidir inventar viejo
varita mágico hado madrín
ayudante mientras escapar palabra
niño tanto perezoso dejar
barrer casita repente encontrar
carpintero buen gepeto decir
granjero llamado wu criar
tierra sol sol tener
vez aprendiz hado madrín
perder viajar cueva ríos
ordenar herm llevar hermoso
hacer él broma aldeano
pasar sol ocultar anciano
sol sol tener queja
pintado negro sentir fuerte
león dormido quedar él
causar tanto problema clamor
recoger él colegio mil
vez hablar claramente lugar
pueblo aprecio trabajadorar buen
amor especial siquiera miedo
rápidamente piko levantar aires
apolo entonar hermoso canción
ratón parecer buen idea
hormiga negro acompañado hormiga
terrible agalla primero luego
pastorcito severidad grit lobo
palabra quedar remedio leer
saber dormir bebé culpar
junto pablito llevar cosa
día miró ventana ver
saltar dentro violín esperar
detener él tocar él
ver volar lechuzo llevar
maría hacer llamar mundo
cualquiera razón aún desconocido
vulgar ir convertir cuadro
país sorpresa fiesta sorprés
embargo cabo mes hija
ocasión preparar plan arriesgado
esfuerzo pacienciar hacer primero
él poder tener oro
orilla río hacho resbalar
decir hijito tú crecido
árbol tanto alto mango
final tanto magnífico pared
